"filename", "language", "Python", "toml", "pip requirements", "Markdown", "Jupyter", "JavaScript", "CSV", "Django HTML", "Properties", "SQLite3 Editor Query", "JSON", "comment", "blank", "total"
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Data\Raw\Stocks\Intraday\15M\AAPL15.csv", "CSV", 0, 0, 0, 0, 0, 0, 47305, 0, 0, 0, 0, 0, 1, 47306
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Data\Raw\Stocks\Intraday\15M\AMZN15.csv", "CSV", 0, 0, 0, 0, 0, 0, 47302, 0, 0, 0, 0, 0, 1, 47303
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Data\Raw\Stocks\Intraday\15M\BTCUSD15.csv", "CSV", 0, 0, 0, 0, 0, 0, 196194, 0, 0, 0, 0, 0, 1, 196195
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Data\Raw\Stocks\Intraday\15M\NVDA15.csv", "CSV", 0, 0, 0, 0, 0, 0, 47304, 0, 0, 0, 0, 0, 1, 47305
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Data\Raw\Stocks\Intraday\15M\XAUUSD15.csv", "CSV", 0, 0, 0, 0, 0, 0, 148865, 0, 0, 0, 0, 0, 1, 148866
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Data\Raw\Stocks\Intraday\15M\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Data\Raw\Stocks\Intraday\60M\AAPL60.csv", "CSV", 0, 0, 0, 0, 0, 0, 12746, 0, 0, 0, 0, 0, 1, 12747
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Data\Raw\Stocks\Intraday\60M\AMZN60.csv", "CSV", 0, 0, 0, 0, 0, 0, 12746, 0, 0, 0, 0, 0, 1, 12747
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Data\Raw\Stocks\Intraday\60M\BTCUSD60.csv", "CSV", 0, 0, 0, 0, 0, 0, 53671, 0, 0, 0, 0, 0, 1, 53672
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Data\Raw\Stocks\Intraday\60M\NVDA60.csv", "CSV", 0, 0, 0, 0, 0, 0, 12745, 0, 0, 0, 0, 0, 1, 12746
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Data\Raw\Stocks\Intraday\60M\XAUUSD60.csv", "CSV", 0, 0, 0, 0, 0, 0, 37604, 0, 0, 0, 0, 0, 1, 37605
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Data\Raw\Stocks\Intraday\60M\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Data\Raw\Stocks\Intraday\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Data\Raw\Stocks\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Data\Raw\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Data\Storage\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Data\Storage\queries.sqlite3-query", "SQLite3 Editor Query", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 10, 9, 31
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Data\Utils\Schema\DATABASE_README.md", "Markdown", 0, 0, 0, 578, 0, 0, 0, 0, 0, 0, 0, 0, 112, 690
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Data\Utils\Schema\README.md", "Markdown", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 22, 69
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Data\Utils\Schema\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Data\Utils\Schema\check_schema.py", "Python", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 64
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Data\Utils\Schema\db_schema.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1760, 0, 0, 1760
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Data\Utils\Schema\db_schema.md", "Markdown", 0, 0, 0, 437, 0, 0, 0, 0, 0, 0, 0, 0, 86, 523
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Data\Utils\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Users\yoonus\documents\GitHub\Stock_AI_Predictor\Data\Utils\csv_converter.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 17
