Pattern Count,K,Silhouette Score,Is Optimal,Sample Size,n_pips,lookback
61,8,8,False,142,9,36
61,9,9,False,142,9,36
61,10,10,False,142,9,36
61,11,11,True,142,9,36
61,12,12,False,142,9,36
61,13,13,False,142,9,36
86,4,4,False,204,3,12
86,5,5,False,204,3,12
86,6,6,True,204,3,12
86,7,7,False,204,3,12
86,8,8,False,204,3,12
86,9,9,False,204,3,12
86,10,10,False,204,3,12
86,11,11,False,204,3,12
86,12,12,False,204,3,12
86,13,13,False,204,3,12
86,14,14,False,204,3,12
86,15,15,False,204,3,12
86,16,16,False,204,3,12
86,17,17,False,204,3,12
42,3,3,False,204,3,24
42,4,4,False,204,3,24
42,5,5,False,204,3,24
42,6,6,False,204,3,24
42,7,7,False,204,3,24
42,8,8,True,204,3,24
42,9,9,False,204,3,24
42,10,10,False,204,3,24
42,11,11,False,204,3,24
42,3,3,False,204,3,36
42,4,4,False,204,3,36
42,5,5,False,204,3,36
42,6,6,False,204,3,36
42,7,7,False,204,3,36
42,8,8,False,204,3,36
42,9,9,True,204,3,36
42,10,10,False,204,3,36
42,11,11,False,204,3,36
122,5,5,False,204,5,12
122,6,6,False,204,5,12
122,7,7,False,204,5,12
122,8,8,False,204,5,12
122,9,9,False,204,5,12
122,10,10,False,204,5,12
122,11,11,False,204,5,12
122,12,12,False,204,5,12
122,13,13,False,204,5,12
122,14,14,False,204,5,12
122,15,15,True,204,5,12
122,16,16,False,204,5,12
122,17,17,False,204,5,12
122,18,18,False,204,5,12
122,19,19,False,204,5,12
122,20,20,False,204,5,12
122,21,21,False,204,5,12
77,4,4,False,204,5,24
77,5,5,False,204,5,24
77,6,6,False,204,5,24
77,7,7,False,204,5,24
77,8,8,False,204,5,24
77,9,9,False,204,5,24
77,10,10,False,204,5,24
77,11,11,False,204,5,24
77,12,12,False,204,5,24
77,13,13,False,204,5,24
77,14,14,True,204,5,24
77,15,15,False,204,5,24
76,4,4,False,204,5,36
76,5,5,False,204,5,36
76,6,6,False,204,5,36
76,7,7,False,204,5,36
76,8,8,False,204,5,36
76,9,9,False,204,5,36
76,10,10,False,204,5,36
76,11,11,False,204,5,36
76,12,12,False,204,5,36
76,13,13,True,204,5,36
76,14,14,False,204,5,36
