Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,ExitReason,Duration,Tag
9,80,83,2036.533633,2028.76,2030.0204317702687,2050.690767656933,-69.96269700000016,-0.003817090409918178,2024-01-09 14:00:00,2024-01-09 17:00:00,time,0 days 03:00:00,44
54,73,83,2032.943274,2029.3364396235047,2029.3364396235047,2048.5593419050933,-194.76905633074466,-0.0017741933199141302,2024-01-09 07:00:00,2024-01-09 17:00:00,sl,0 days 10:00:00,39
30,82,84,2034.943474,2027.8952445628038,2027.8952445628038,2052.4999287584,-211.44688311588425,-0.0034635996170162553,2024-01-09 16:00:00,2024-01-09 18:00:00,sl,0 days 02:00:00,46
57,84,85,2031.4631259999999,2027.677083428439,2027.677083428439,2045.1805866627994,-215.80442657897606,-0.0018637023350829285,2024-01-09 18:00:00,2024-01-09 19:00:00,sl,0 days 01:00:00,48
57,83,91,2028.962876,2030.21,2025.1814931502022,2042.6634537174075,71.08606799999916,0.000614660827337854,2024-01-09 17:00:00,2024-01-10 02:00:00,time,0 days 09:00:00,47
77,85,93,2027.872767,2031.84,2025.0033579080962,2034.0024952640092,305.4769409999885,0.001956352027878472,2024-01-09 19:00:00,2024-01-10 04:00:00,time,0 days 09:00:00,49
68,86,94,2029.412921,2028.88,2026.216353182697,2037.3013691947533,-36.23862799999915,-0.000262598604002906,2024-01-09 20:00:00,2024-01-10 05:00:00,time,0 days 09:00:00,50
23,87,95,2029.0728869999998,2029.76,2026.2017797565672,2035.2062429124512,15.80359900000417,0.0003386339664792626,2024-01-09 21:00:00,2024-01-10 06:00:00,time,0 days 09:00:00,51
22,88,96,2028.552835,2025.6601869430217,2025.6601869430217,2033.702953166182,-63.638257253521715,-0.001425966337710971,2024-01-09 22:00:00,2024-01-10 07:00:00,sl,0 days 09:00:00,52
121,103,105,2031.70315,2028.4335577917782,2028.4335577917782,2044.641642594909,-395.62065719484576,-0.0016092863803562896,2024-01-10 14:00:00,2024-01-10 16:00:00,sl,0 days 02:00:00,53
44,107,108,2027.262706,2022.9243580736052,2022.9243580736052,2049.7431371405046,-190.88730876137197,-0.0021400028292114515,2024-01-10 18:00:00,2024-01-10 19:00:00,sl,0 days 01:00:00,54
43,109,117,2023.90237,2030.92,2018.9314715806065,2037.1591870921047,301.7580900000023,0.0034673757509360303,2024-01-10 20:00:00,2024-01-11 05:00:00,time,0 days 09:00:00,55
14,110,118,2024.192399,2032.07,2019.6610481338444,2038.5086669752613,110.28641399999879,0.003891725413005087,2024-01-10 21:00:00,2024-01-11 06:00:00,time,0 days 09:00:00,56
