date,probability,action,reward_risk_ratio,max_gain,max_drawdown,mfe,mae,mse,acual_return,expected_value,rsi,atr,atr_ratio,unified_sentiment,sentiment_count,net_noncommercial,net_nonreportable,change_nonrept_long,change_nonrept_short,change_noncommercial_long,change_noncommercial_short,hour_sin,hour_cos,day_sin,day_cos,asian_session,london_session,ny_session
2024-02-20 15:00:00,0.75,1,2.264863202125662,0.005270828877111742,-0.002327217322514165,0.0,-0.003226505620523509,0.0056314627970326814,-0.001059081997576359,1.4486474015942465,71.33933249688071,2.8443053655990593,0.0014010942364260461,0.1246,5.0,140262.0,19149.0,-2382.0,281.0,-6471.0,-15565.0,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,0.0,1.0,1.0
2024-02-20 16:00:00,0.75,1,2.264863202125662,0.005270828877111742,-0.002327217322514165,0.00030077115752525854,-0.002273041042936266,0.012450011149482076,0.0011833619312467166,1.4486474015942465,67.04966098015576,2.9524593086991007,0.0014557616456122423,0.1246,5.0,140262.0,19149.0,-2382.0,281.0,-6471.0,-15565.0,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0.0,0.0,1.0
2024-02-20 17:00:00,0.75,2,2.3387143705408255,-0.0031526593384466704,0.001348030943050827,0.0006115936453447411,-0.0015635095610829512,0.011092013688336263,-0.001839713142851515,1.504035777905619,65.71074413266173,3.006940170836638,0.0014830850809802454,0.1246,5.0,140262.0,19149.0,-2382.0,281.0,-6471.0,-15565.0,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,0.0,0.0,1.0
2024-02-20 18:00:00,0.6,1,2.4585000483041877,0.0032251927822949658,-0.0013118538616745702,0.0008781667036680593,-0.001573793137472584,0.0030820538867334943,-0.0013419176595377425,1.0751000289825123,64.55771107198784,2.9770676637184432,0.0014687425263170987,0.1246,5.0,140262.0,19149.0,-2382.0,281.0,-6471.0,-15565.0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,0.0,0.0,1.0
2024-02-20 19:00:00,0.75,2,2.3387143705408255,-0.0031526593384466704,0.001348030943050827,0.0,-0.0024498085008848036,0.013578260580635859,-0.0025730383047522475,1.504035777905619,66.57508031455725,2.9830231777301797,0.0014703894444949204,0.1246,5.0,140262.0,19149.0,-2382.0,281.0,-6471.0,-15565.0,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,0.0,0.0,1.0
2024-02-20 20:00:00,0.6,1,2.4585000483041877,0.0032251927822949658,-0.0013118538616745702,0.0,-0.0018399400169688928,0.008842048867733291,-0.0009323020461317358,1.0751000289825123,63.421874081743525,2.947063878658094,0.001453732108017844,0.1246,5.0,140262.0,19149.0,-2382.0,281.0,-6471.0,-15565.0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.0,0.0,1.0
2024-02-20 21:00:00,0.7272727272727273,1,2.4264064152367832,0.00513943396371549,-0.0021181257729299043,0.0028640419532767023,-0.0007900805388348826,0.001715464360186114,0.0007209484916868893,1.4919319383540242,59.236747276937606,2.945936217047343,0.0014547042960863078,0.1246,5.0,140262.0,19149.0,-2382.0,281.0,-6471.0,-15565.0,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,0.0,0.0,0.0
2024-02-20 22:00:00,0.7692307692307693,1,2.904649254977957,0.003425394440475133,-0.001179279885378494,0.001773435030034849,-0.0004001343661080983,0.01294768305988015,0.0030627568763832032,2.003576349983044,57.76158583596587,2.891105541337042,0.0014281860285612167,0.1246,5.0,140262.0,19149.0,-2382.0,281.0,-6471.0,-15565.0,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,0.0,0.0,0.0
2024-02-20 23:00:00,0.8,1,3.9801674337883863,0.003518757062756686,-0.0008840726228965392,0.003340317033640348,-0.00012353243467604856,0.0016506945105128944,0.003513262442186771,2.984133947030709,56.716854013636656,2.8160594771146616,0.0013914987336021375,0.1246,5.0,140262.0,19149.0,-2382.0,281.0,-6471.0,-15565.0,-0.25881904510252157,0.9659258262890681,0.7818314824680298,0.6234898018587336,0.0,0.0,0.0
2024-02-21 01:00:00,0.8,1,3.9801674337883863,0.003518757062756686,-0.0008840726228965392,0.0032802596542882345,-0.00035569080588669633,0.003447296909791644,0.003300020254615367,2.984133947030709,57.39177417659096,2.7491403322348855,0.0013581165837058464,0.0,1.0,140262.0,19149.0,-2382.0,281.0,-6471.0,-15565.0,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,1.0,0.0,0.0
